nb_seeds,nb_activated_nodes,std_activated_nodes,nb_runs
1,129.7,177.04606745138395,20
2,252.5,98.14147950790226,20
4,563.6,259.83425486259506,20
5,606.5,168.37324609331495,20
7,736.1,134.27505352819637,20
8,890.3,180.02447055886597,20
10,1183.85,179.10060720165077,20
11,1199.65,260.27606017457697,20
13,1273.25,283.0720535482088,20
14,1389.85,242.98606441522526,20
16,1426.45,193.80466325658935,20
17,1654.95,237.5387284212829,20
19,1541.25,227.55546027287502,20
20,1685.75,241.94356263393328,20
22,1701.15,246.49670890297904,20
23,1738.75,204.6765435998957,20
25,1743.85,242.65268904341448,20
26,1873.1,151.26331346364194,20
28,1902.4,231.10114668689982,20
30,2061.7,171.90872578202652,20
